Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Neurodevelopment in Infants Exposed to Zika Virus In Utero.,""/pubmed/30575464"",""Lopes Moreira ME, Nielsen-Saines K, Brasil P, Kerin T, Damasceno L, Pone M, Carvalho LMA, Pone SM, Vasconcelos Z, Ribeiro IP, Zin AA, Tsui I, Adachi K, Gaw SL, Halai UA, Salles TS, da Cunha DC, Bonaldo MC, Raja Gabaglia C, Guida L, Malacarne J, Costa RP, et al."",""N Engl J Med. 2018 Dec 13";"379(24):2377-2379. doi: 10.1056/NEJMc1800098. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575464"",""pubmed"",""30575464"",""create date:2018/12/24 | first author:Lopes Moreira ME"",";;
"Substance-Use Disorders in Later Life.,""/pubmed/30575463"",""Lehmann SW, Fingerhood M."",""N Engl J Med. 2018 Dec 13";"379(24):2351-2360. doi: 10.1056/NEJMra1805981. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575463"",""pubmed"",""30575463"",""create date:2018/12/24 | first author:Lehmann SW"",";;
"Heat-Stable Carbetocin to Prevent Postpartum Hemorrhage.,""/pubmed/30575462"",""Gülmezoglu AM, Widmer M."",""N Engl J Med. 2018 Dec 13";"379(24):2381. doi: 10.1056/NEJMc1812692. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575462"",""pubmed"",""30575462"",""create date:2018/12/24 | first author:Gülmezoglu AM"",";;
"The Future of Health Care Reform - A View from the States on Where We Go from Here.,""/pubmed/30575461"",""Jones DK, Pagel C, Koller CF."",""N Engl J Med. 2018 Dec 6";"379(23):2189-2191. doi: 10.1056/NEJMp1809153. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575461"",""pubmed"",""30575461"",""create date:2018/12/24 | first author:Jones DK"",";;
"Femtosecond Lasers for Ophthalmic Surgery Enabled by Chirped-Pulse Amplification.,""/pubmed/30575460"",""Palanker D."",""N Engl J Med. 2018 Dec 6";"379(23):2267-2269. doi: 10.1056/NEJMcibr1813334. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575460"",""pubmed"",""30575460"",""create date:2018/12/24 | first author:Palanker D"",";;
"Aspirin-Exacerbated Respiratory Disease.,""/pubmed/30575459"",""White AA, Stevenson DD."",""N Engl J Med. 2018 Dec 6";"379(23):2281-2282. doi: 10.1056/NEJMc1813469. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575459"",""pubmed"",""30575459"",""create date:2018/12/24 | first author:White AA"",";;
"Amebic Liver Abscess.,""/pubmed/30575458"",""Wang HH, Lin WR."",""N Engl J Med. 2018 Dec 6";"379(23):2255. doi: 10.1056/NEJMicm1800360. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575458"",""pubmed"",""30575458"",""create date:2018/12/24 | first author:Wang HH"",";;
"Mapping Symptoms to Brain Networks with the Human Connectome.,""/pubmed/30575457"",""Fox MD."",""N Engl J Med. 2018 Dec 6";"379(23):2237-2245. doi: 10.1056/NEJMra1706158. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575457"",""pubmed"",""30575457"",""create date:2018/12/24 | first author:Fox MD"",";;
"Toward Precision Policy - The Case of Cardiovascular Care.,""/pubmed/30575456"",""Wadhera RK, Bhatt DL."",""N Engl J Med. 2018 Dec 6";"379(23):2193-2195. doi: 10.1056/NEJMp1806260. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575456"",""pubmed"",""30575456"",""create date:2018/12/24 | first author:Wadhera RK"",";;
"A Borderline Case.,""/pubmed/30575455"",""Stack PS."",""N Engl J Med. 2018 Dec 6";"379(23):2195-2197. doi: 10.1056/NEJMp1809611. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575455"",""pubmed"",""30575455"",""create date:2018/12/24 | first author:Stack PS"",";;
"Thromboprophylaxis after Hospitalization for Medical Illness.,""/pubmed/30575454"",""Spyropoulos AC, Barnathan ES, Raskob GE";" MARINER Investigators.."",""N Engl J Med. 2018 Dec 6";"379(23):2280. doi: 10.1056/NEJMc1813803. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575454"",""pubmed"",""30575454"",""create date:2018/12/24 | first author:Spyropoulos AC"",";
"Variant Prolactin Receptor in Agalactia and Hyperprolactinemia.,""/pubmed/30575453"",""Kobayashi T, Usui H, Tanaka H, Shozu M."",""N Engl J Med. 2018 Dec 6";"379(23):2230-2236. doi: 10.1056/NEJMoa1805171."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575453"",""pubmed"",""30575453"",""create date:2018/12/24 | first author:Kobayashi T"",";;
"Bacterial Vaginosis and Desquamative Inflammatory Vaginitis.,""/pubmed/30575452"",""Paavonen J, Brunham RC."",""N Engl J Med. 2018 Dec 6";"379(23):2246-2254. doi: 10.1056/NEJMra1808418. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575452"",""pubmed"",""30575452"",""create date:2018/12/24 | first author:Paavonen J"",";;
"Overcoming the Barrier.,""/pubmed/30575451"",""Geha RM, Dhaliwal G, Winston LG, Kickler TS, Manesh R."",""N Engl J Med. 2018 Dec 6";"379(23):2256-2261. doi: 10.1056/NEJMcps1808494. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575451"",""pubmed"",""30575451"",""create date:2018/12/24 | first author:Geha RM"",";;
"Labor Induction vs. Expectant Management of Low-Risk Pregnancy.,""/pubmed/30575450"",""Grobman WA."",""N Engl J Med. 2018 Dec 6";"379(23):2278-2279. doi: 10.1056/NEJMc1812323. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575450"",""pubmed"",""30575450"",""create date:2018/12/24 | first author:Grobman WA"",";;
"The Anti-Trans Memo - Abandoning Doctors and Patients.,""/pubmed/30566376"",""Samuels J, Keisling M."",""N Engl J Med. 2019 Jan 10";"380(2):111-113. doi: 10.1056/NEJMp1814406. Epub 2018 Dec 19. No abstract available. "",""N Engl J Med.  2019"",""PubMed"",""citation"",""PMID:30566376"",""pubmed"",""30566376"",""create date:2018/12/20 | first author:Samuels J"",";;
"Reverse-Transcriptase Inhibitors in the Aicardi–Goutières Syndrome,""/pubmed/30566312"",""Rice GI, Meyzer C, Bouazza N, Hully M, Boddaert N, Semeraro M, Zeef LAH, Rozenberg F, Bondet V, Duffy D, Llibre A, Baek J, Sambe MN, Henry E, Jolaine V, Barnerias C, Barth M, Belot A, Cances C, Debray FG, Doummar D, Frémond ML, et al."",""N Engl J Med. 2018 Dec 6";"379(23):2275-7. doi: 10.1056/NEJMc1810983. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30566312"",""pubmed"",""30566312"",""create date:2018/12/20 | first author:Rice GI"",";;
"Adolescent Vaping and Nicotine Use in 2017-2018 - U.S. National Estimates.,""/pubmed/30554549"",""Miech R, Johnston L, O'Malley PM, Bachman JG, Patrick ME."",""N Engl J Med. 2019 Jan 10";"380(2):192-193. doi: 10.1056/NEJMc1814130. Epub 2018 Dec 16. No abstract available. "",""N Engl J Med.  2019"",""PubMed"",""citation"",""PMID:30554549"",""pubmed"",""30554549"",""create date:2018/12/18 | first author:Miech R"",";;
"Sequencing of Circulating Cell-free DNA during Pregnancy.,""/pubmed/30526337"",""Hoskovec JM, Swigert AS."",""N Engl J Med. 2018 Dec 6";"379(23):2282. doi: 10.1056/NEJMc1812266. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30526337"",""pubmed"",""30526337"",""create date:2018/12/12 | first author:Hoskovec JM"",";;
"Hydroxyurea for Children with Sickle Cell Anemia in Sub-Saharan Africa.,""/pubmed/30501550"",""Tshilolo L, Tomlinson G, Williams TN, Santos B, Olupot-Olupot P, Lane A, Aygun B, Stuber SE, Latham TS, McGann PT, Ware RE";" REACH Investigators.."",""N Engl J Med. 2019 Jan 10";"380(2):121-131. doi: 10.1056/NEJMoa1813598. Epub 2018 Dec 1."",""N Engl J Med.  2019"",""PubMed"",""citation"",""PMID:30501550"",""pubmed"",""30501550"",""create date:2018/12/07 | first author:Tshilolo L"",";
"Tisagenlecleucel in Adult Relapsed or Refractory Diffuse Large B-Cell Lymphoma.,""/pubmed/30501490"",""Schuster SJ, Bishop MR, Tam CS, Waller EK, Borchmann P, McGuirk JP, Jäger U, Jaglowski S, Andreadis C, Westin JR, Fleury I, Bachanova V, Foley SR, Ho PJ, Mielke S, Magenau JM, Holte H, Pantano S, Pacaud LB, Awasthi R, Chu J, Anak Ö, et al."",""N Engl J Med. 2019 Jan 3";"380(1):45-56. doi: 10.1056/NEJMoa1804980. Epub 2018 Dec 1."",""N Engl J Med.  2019"",""PubMed"",""citation"",""PMID:30501490"",""pubmed"",""30501490"",""create date:2018/12/07 | first author:Schuster SJ"",";;
"Ibrutinib Regimens versus Chemoimmunotherapy in Older Patients with Untreated CLL.,""/pubmed/30501481"",""Woyach JA, Ruppert AS, Heerema NA, Zhao W, Booth AM, Ding W, Bartlett NL, Brander DM, Barr PM, Rogers KA, Parikh SA, Coutre S, Hurria A, Brown JR, Lozanski G, Blachly JS, Ozer HG, Major-Elechi B, Fruth B, Nattam S, Larson RA, Erba H, et al."",""N Engl J Med. 2018 Dec 27";"379(26):2517-2528. doi: 10.1056/NEJMoa1812836. Epub 2018 Dec 1."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30501481 | PMCID:PMC6325637"",""pubmed"",""30501481"",""create date:2018/12/07 | first author:Woyach JA"",";;
"#ThisIsOurLane - Firearm Safety as Health Care's Highway.,""/pubmed/30517063"",""Ranney ML, Betz ME, Dark C."",""N Engl J Med. 2019 Jan 31";"380(5):405-407. doi: 10.1056/NEJMp1815462. Epub 2018 Dec 5. No abstract available. "",""N Engl J Med.  2019"",""PubMed"",""citation"",""PMID:30517063"",""pubmed"",""30517063"",""create date:2018/12/06 | first author:Ranney ML"",";;
"Trastuzumab Emtansine for Residual Invasive HER2-Positive Breast Cancer.,""/pubmed/30516102"",""von Minckwitz G, Huang CS, Mano MS, Loibl S, Mamounas EP, Untch M, Wolmark N, Rastogi P, Schneeweiss A, Redondo A, Fischer HH, Jacot W, Conlin AK, Arce-Salinas C, Wapnir IL, Jackisch C, DiGiovanna MP, Fasching PA, Crown JP, Wülfing P, Shao Z, Rota Caremoli E, et al."",""N Engl J Med. 2018 Dec 5. doi: 10.1056/NEJMoa1814017. [Epub ahead of print]"",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30516102"",""pubmed"",""30516102"",""create date:2018/12/06 | first author:von Minckwitz G"",";;;
"Apixaban to Prevent Venous Thromboembolism in Patients with Cancer.,""/pubmed/30511879"",""Carrier M, Abou-Nassar K, Mallick R, Tagalakis V, Shivakumar S, Schattner A, Kuruvilla P, Hill D, Spadafora S, Marquis K, Trinkaus M, Tomiak A, Lee AYY, Gross PL, Lazo-Langner A, El-Maraghi R, Goss G, Le Gal G, Stewart D, Ramsay T, Rodger M, Witham D, et al."",""N Engl J Med. 2018 Dec 4. doi: 10.1056/NEJMoa1814468. [Epub ahead of print]"",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30511879"",""pubmed"",""30511879"",""create date:2018/12/05 | first author:Carrier M"",";;;
"Clonal Hematopoiesis Leading to AITL and NPM1-Mutated AML.,""/pubmed/30499647"",""Ulrich BC."",""N Engl J Med. 2018 Nov 29";"379(22):2184. doi: 10.1056/NEJMc1813168. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499647"",""pubmed"",""30499647"",""create date:2018/12/01 | first author:Ulrich BC"",";;
"More on Anesthesia with a Large Mediastinal Mass.,""/pubmed/30499646"",""Foley ED."",""N Engl J Med. 2018 Nov 29";"379(22):2183. doi: 10.1056/NEJMc1811989. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499646"",""pubmed"",""30499646"",""create date:2018/12/01 | first author:Foley ED"",";;
"More on Anesthesia with a Large Mediastinal Mass.,""/pubmed/30499645"",""Adamson PC."",""N Engl J Med. 2018 Nov 29";"379(22):2182-3. doi: 10.1056/NEJMc1811989. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499645"",""pubmed"",""30499645"",""create date:2018/12/01 | first author:Adamson PC"",";;
"Peripheral Nerve Blocks for Hand Procedures.,""/pubmed/30499644"",""Coraci D, Loreti C, Padua L."",""N Engl J Med. 2018 Nov 29";"379(22):2181-2. doi: 10.1056/NEJMc1813329. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499644"",""pubmed"",""30499644"",""create date:2018/12/01 | first author:Coraci D"",";;
"Circulating Extracellular Vesicles in Human Disease.,""/pubmed/30499643"",""Riancho J, Sánchez-Juan P."",""N Engl J Med. 2018 Nov 29";"379(22):2180. doi: 10.1056/NEJMc1813170. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499643"",""pubmed"",""30499643"",""create date:2018/12/01 | first author:Riancho J"",";;
"Circulating Extracellular Vesicles in Human Disease.,""/pubmed/30499642"",""Tsai MJ, Hsu YL, Kuo PL."",""N Engl J Med. 2018 Nov 29";"379(22):2179-80. doi: 10.1056/NEJMc1813170. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499642"",""pubmed"",""30499642"",""create date:2018/12/01 | first author:Tsai MJ"",";;
"Quality of Care in the United Kingdom after Removal of Financial Incentives.,""/pubmed/30499641"",""Macklin-Doherty A."",""N Engl J Med. 2018 Nov 29";"379(22):2178-9. doi: 10.1056/NEJMc1813176. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499641"",""pubmed"",""30499641"",""create date:2018/12/01 | first author:Macklin-Doherty A"",";;
"Nivolumab and Ipilimumab in Melanoma Metastatic to the Brain.,""/pubmed/30499640"",""Mansouri A, Moraes FY, Zadeh G."",""N Engl J Med. 2018 Nov 29";"379(22):2177-8. doi: 10.1056/NEJMc1812500. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30499640"",""pubmed"",""30499640"",""create date:2018/12/01 | first author:Mansouri A"",";;
"Peripheral Nerve Blocks for Hand Procedures.,""/pubmed/30485784"",""Chandrasoma J, Harrison TK, Chu LF."",""N Engl J Med. 2018 Nov 29";"379(22):2182. doi: 10.1056/NEJMc1813329. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485784"",""pubmed"",""30485784"",""create date:2018/11/30 | first author:Chandrasoma J"",";;
"More on Anesthesia with a Large Mediastinal Mass.,""/pubmed/30485783"",""Hartigan PM, Ng JM, Gill RR."",""N Engl J Med. 2018 Nov 29";"379(22):2183-2184. doi: 10.1056/NEJMc1811989. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485783"",""pubmed"",""30485783"",""create date:2018/11/30 | first author:Hartigan PM"",";;
"PCSK9 - A Journey to Cardiovascular Outcomes.,""/pubmed/30485782"",""Burnett JR, Hooper AJ."",""N Engl J Med. 2018 Nov 29";"379(22):2161-2162. doi: 10.1056/NEJMe1813758. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485782"",""pubmed"",""30485782"",""create date:2018/11/30 | first author:Burnett JR"",";;
"The Role of Deferiprone in Iron Chelation.,""/pubmed/30485781"",""Hider RC, Hoffbrand AV."",""N Engl J Med. 2018 Nov 29";"379(22):2140-2150. doi: 10.1056/NEJMra1800219. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485781"",""pubmed"",""30485781"",""create date:2018/11/30 | first author:Hider RC"",";;
"Attention Deficit-Hyperactivity Disorder and Month of School Enrollment.,""/pubmed/30485780"",""Layton TJ, Barnett ML, Hicks TR, Jena AB."",""N Engl J Med. 2018 Nov 29";"379(22):2122-2130. doi: 10.1056/NEJMoa1806828."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485780 | PMCID:PMC6322209"",""pubmed"",""30485780"",""create date:2018/11/30 | first author:Layton TJ"",";;
"Clonal Hematopoiesis Leading to AITL and NPM1-Mutated AML.,""/pubmed/30485779"",""Tiacci E, Falini B."",""N Engl J Med. 2018 Nov 29";"379(22):2184-2185. doi: 10.1056/NEJMc1813168. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485779"",""pubmed"",""30485779"",""create date:2018/11/30 | first author:Tiacci E"",";;
"Of Tragedies and Miracles - Neonatal Organ Donation.,""/pubmed/30485778"",""Lechner BE."",""N Engl J Med. 2018 Nov 29";"379(22):2089-2091. doi: 10.1056/NEJMp1809147. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485778"",""pubmed"",""30485778"",""create date:2018/11/30 | first author:Lechner BE"",";;
"The FDA Sentinel Initiative - An Evolving National Resource.,""/pubmed/30485777"",""Platt R, Brown JS, Robb M, McClellan M, Ball R, Nguyen MD, Sherman RE."",""N Engl J Med. 2018 Nov 29";"379(22):2091-2093. doi: 10.1056/NEJMp1809643. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485777"",""pubmed"",""30485777"",""create date:2018/11/30 | first author:Platt R"",";;
"Nivolumab and Ipilimumab in Melanoma Metastatic to the Brain.,""/pubmed/30485776"",""Tawbi HA, Chung C, Margolin K."",""N Engl J Med. 2018 Nov 29";"379(22):2178. doi: 10.1056/NEJMc1812500. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485776"",""pubmed"",""30485776"",""create date:2018/11/30 | first author:Tawbi HA"",";;
"Olaparib Desensitization in a Patient with Recurrent Peritoneal Cancer.,""/pubmed/30485775"",""Grabowski JP, Sehouli J, Glajzer J, Worm M, Zuberbier T, Fluhr JW."",""N Engl J Med. 2018 Nov 29";"379(22):2176-2177. doi: 10.1056/NEJMc1810168. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485775"",""pubmed"",""30485775"",""create date:2018/11/30 | first author:Grabowski JP"",";;
"Case 37-2018: A 23-Year-Old Woman with Vision Loss.,""/pubmed/30485774"",""Prasad S, Young LH, Bouffard M, Gupta R."",""N Engl J Med. 2018 Nov 29";379(22):2152-2159. doi: 10.1056/NEJMcpc1807501. No abstract available.  Erratum in: N Engl J Med. 2018 Dec 20;"379(25):2482. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485774"",""pubmed"",""30485774"",""create date:2018/11/30 | first author:Prasad S"",";
"Nail Pitting in Psoriasis.,""/pubmed/30485773"",""Moreno-Romero JA, Grimalt R."",""N Engl J Med. 2018 Nov 29";"379(22):e39. doi: 10.1056/NEJMicm1803217. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485773"",""pubmed"",""30485773"",""create date:2018/11/30 | first author:Moreno-Romero JA"",";;
"Circulating Extracellular Vesicles in Human Disease.,""/pubmed/30485772"",""Shah R, Patel T, Freedman JE."",""N Engl J Med. 2018 Nov 29";"379(22):2180-2181. doi: 10.1056/NEJMc1813170. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485772"",""pubmed"",""30485772"",""create date:2018/11/30 | first author:Shah R"",";;
"Cast of the Right Bronchial Tree.,""/pubmed/30485771"",""Woodard GA, Wieselthaler GM."",""N Engl J Med. 2018 Nov 29";"379(22):2151. doi: 10.1056/NEJMicm1806493. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485771"",""pubmed"",""30485771"",""create date:2018/11/30 | first author:Woodard GA"",";;
"Sit Back and Listen - The Relevance of Patients' Stories to Trauma-Informed Care.,""/pubmed/30485770"",""Novick DR."",""N Engl J Med. 2018 Nov 29";"379(22):2093-2094. doi: 10.1056/NEJMp1809633. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485770"",""pubmed"",""30485770"",""create date:2018/11/30 | first author:Novick DR"",";;
"Mutagenesis in Norovirus in Response to Favipiravir Treatment.,""/pubmed/30485769"",""Ruis C, Brown LK, Roy S, Atkinson C, Williams R, Burns SO, Yara-Romero E, Jacobs M, Goldstein R, Breuer J, Lowe DM."",""N Engl J Med. 2018 Nov 29";"379(22):2173-2176. doi: 10.1056/NEJMc1806941. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485769"",""pubmed"",""30485769"",""create date:2018/11/30 | first author:Ruis C"",";;
"Quality of Care in the United Kingdom after Removal of Financial Incentives.,""/pubmed/30485768"",""Guthrie B, Roland M, Minchin M."",""N Engl J Med. 2018 Nov 29";"379(22):2179. doi: 10.1056/NEJMc1813176. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30485768"",""pubmed"",""30485768"",""create date:2018/11/30 | first author:Guthrie B"",";;
